,Name,address,pincode,website,phone number,scrap
0,ONSTOG Dairy,"House No 500, near Sunil dairy, Ajay Nagar, Rewari, Haryana 123401",123401,, ,123102
1,Vardan dairy,"VPO, Kosli, Haryana 123302",123302,http://vardandairy.com/,096825 81650,123102
2,Partap Milk Dairy,"Dhani Radha, Haryana 123102",123102,, ,123102
3,DOODH DHARA MILK PLANT REWARI,090344 86755, 86755,https://doodhdhara.com/,090344 86755,123102
4,Bohra Dairy Farm,"Near Co-operative Bank, Nangli Parsapur,, P.O Nangal Shahbazpur,, Teh. Bawal, Rewari, Haryana 123501",123501,, ,123102
5,New Nahar Mahilla Dairy,"C97W+76R, bhau road, Mumtaj Pur, Haryana 123303",123303,, ,123102
6,Dada Dairy Farm,"Mandola, Haryana 123103",123103,, ,123102
7,Sunda Ram Dairy,"H.no. 858 Sadhu Shah Nagar, Ghisa Ki Dhani, Rewari rural, Haryana 123401",123401,, ,123102
8,Suresh dairy,"7C76+5FC, Rewari-Kanina-Mahendragarh Rd, Dhani Thethar Bad, Luhana, Haryana 123411",123411,,094164 73997,123102
9,Shuddh Milk Dairy Farm,"NMT, Huda, 158, Sector 1, Rewari, Haryana 123401",123401,, ,123102
10,Kunjpura Dairy Farm -KDF FOODS,"Village kunjpura, Ateli, Haryana 123021",123021,,097288 83247,123102
11,Bhanja Dairy Farm,"Nangal Pathani - Kosli Rd, Station Road, Rewari, Zahadpur Tapa Kosli, Haryana 123302",123302,, ,123102
12,Yadav Dairy Farm,"Street 2 Gugodh, Kosli, Gugodh, Haryana 124109",124109,, ,123102
13,Sarjeet Dairy Farm,"Sarjeet Dairy Farm Kamalpur & Mundanwas Post Bagthala , Block Bawal, Rewari, Haryana 123501",123501,, ,123102
14,Milk Dairy,"5, Konsiwas Rd, Sector 4, Rewari, Haryana 123401",123401,,070150 54588,123102
15,Rao Dairy Farm,"Rasulpur, Haryana 123027",123027,, ,123102
16,shri shayam & shri bala ji dairy farm,"Narnaul Road, vpo, Dongra Ahir, Haryana 123028",123028,, ,123102
17,Neetu Dairy Farm,"87C8+58V, Rewari-Dahina-Kanina-Mahendargarh Rd, Haryana 123034",123034,, ,123102
18,AZAD dairy farm house Rata kalan,"57J8+X9 Ratta to kalwari, road, Rata Kalan, Haryana 123021",123021,, ,123102
19,Partap Milk Dairy,"Dhani Radha, Haryana 123102",123102,, ,123102
20,Kunjpura Dairy Farm -KDF FOODS,"Village kunjpura, Ateli, Haryana 123021",123021,,097288 83247,123102
21,shri shayam & shri bala ji dairy farm,"Narnaul Road, vpo, Dongra Ahir, Haryana 123028",123028,, ,123102
22,Rao Dairy Farm,"Rasulpur, Haryana 123027",123027,, ,123102
23,Vikash Dairy Farm,"34Q8+G3H, Nangtihari, Haryana 123001",123001,, ,123102
24,Neetu Dairy Farm,"87C8+58V, Rewari-Dahina-Kanina-Mahendargarh Rd, Haryana 123034",123034,, ,123102
25,Kosliya Dairy Farm,"C78V+82G, Bahala, Haryana 123303",123303,, ,123102
26,Dayanand dairy & agriculture farm,"67H4+CMH, Kanina, Haryana 123034",123034,, ,123102
27,Omkar Dairy Farm,"Nihalghar, Haryana 127310",127310,,098177 55759,123102
28,Fresh Field Milk point,"7583+7F2, Lala wala kuwa, Mahendragarh, Haryana 123029",123029,, ,123102
29,Ashok dairy farm,"Mundain, Haryana 123034",123034,, ,123102
30,S D Dairy Farm,"VPO, Kakrala, Kanina, Haryana 123027",123027,, ,123102
31,YADAV DAIRY FARM,"77R2+89M, Rasulpur, Haryana 123034",123034,, ,123102
32,Shubham Dairy Farm Chitlang,"Chitlang Road, Chitlang, Salimabad, Haryana 123034",123034,, ,123102
33,Shilu Dairy farm,"85G3+8J8, Unnamed Road, Bawana, Haryana 123029",123029,, ,123102
34,JANNI farm,"Near Gurha, Canal, Rasulpur, Haryana 123027",123027,https://www.instagram.com/sahabrasulpur/,097290 97687,123102
35,Babulal Ji Ki Dairy Farm,"24VW+XWF, Mohindergarh, Haryana 123001",123001,,094663 13547,123102
36,Om Animals & Dairy Farm Seka,"Guwana Rd, Bhushan Khurd, Haryana 123001",123001,, ,123102
37,Vikram cow dairy farm,"Manpura, Rambas, Haryana 123034",123034,, ,123102
38,Yadav diary farm. Mulodi,"Mulodi, Narnaul, Haryana 123023",123023,, ,123102
39,Partap Milk Dairy,"Dhani Radha, Haryana 123102",123102,, ,123102
40,Kunjpura Dairy Farm -KDF FOODS,"Village kunjpura, Ateli, Haryana 123021",123021,,097288 83247,123102
41,shri shayam & shri bala ji dairy farm,"Narnaul Road, vpo, Dongra Ahir, Haryana 123028",123028,, ,123102
42,Rao Dairy Farm,"Rasulpur, Haryana 123027",123027,, ,123102
43,Vikash Dairy Farm,"34Q8+G3H, Nangtihari, Haryana 123001",123001,, ,123102
44,Neetu Dairy Farm,"87C8+58V, Rewari-Dahina-Kanina-Mahendargarh Rd, Haryana 123034",123034,, ,123102
