,Name,address,pincode,website,phone number,scrap
0,Deobhog milk parlour,"Collectorate parisar, Karhi, Chhattisgarh 495334",495334,,095751 18022,493332
1,Sarda Dairy Kharora,"Raipur, Chhattisgarh 493225",493225,http://sardadairy.in/, ,493332
2,Prajapati Dugdh Dairy,"Purani Basti, Bramhapuri, Raipur, Chhattisgarh 492001",492001,https://prajapatidairy.com/,096916 12554,493332
3,Chandan dairy and sweets,"7MRM+C38, Urkura Rd, beside VIP City, Saddu, Chhattisgarh 493111",493111,, ,493332
4,Gopal Dairy,"35X7+2FP, Seepat Rd, Devnandan Nagar Phase 2, Sarkanda, Fadahakhar, Chhattisgarh 495006",495006,, ,493332
5,Sarda Dairy & Food Products Ltd.,"157, Sector 4, Pandri, Raipur, Chhattisgarh 492004",492004,http://www.sardadairy.in/,077122 14155,493332
6,Door step doodhwala,"Ring road no 3 village barouda, Vidhan Sabha Rd, Raipur, Chhattisgarh 493111",493111,,062616 10040,493332
7,Indian Milk Diary Products,"4J7G+4JH, gokol nagar, near hanuman mandir, Chhattisgarh 493661",493661,, ,493332
8,Maa bhagwati dairy farm Toshgaon,"6WJP+2C4, Toshgaon Rd, Sonamundi, Lamkeni, Chhattisgarh 493554",493554,, ,493554
9,जे.पी.डेयरी,"Bijara Bhata, Chhattisgarh 493555",493555,, ,493554
10,Dada dairy farming,"6278+2HG, Toresingha, Jangalbeda, Chhattisgarh 493558",493558,, ,493554
11,Devbhog Agency,"Bus Stand, Saraipali, Chhattisgarh 493558",493558,,091111 92272,493554
12,Patel Daily Needs,"01, Saraipali, Chhattisgarh 493558",493558,,084619 63647,493554
13,Bharat yatra,"Kheer Sagar Nagar, Saraipali, Chhattisgarh 493558",493558,, ,493554
14,shree banwari goshala,"829C+6VV, Kheer Sagar Nagar, Saraipali, Chhattisgarh 493558",493558,, ,493554
15,Goswami Daily Needs,"0, Saraipali, Chhattisgarh 493558",493558,,088890 61462,493554
16,Kashyap organics,"8W6H+HWF, Unnamed Road, Harda, Chhattisgarh 493555",493555,, ,493554
17,Jai Jagannath Dairy Farm,"8Q5G+WJC, Bamdadih, Chhattisgarh 493112",493112,, ,493554
18,Khemsagar Nag,"Dipapara, Bonda, Chhattisgarh 493558",493558,,074411 54540,493554
19,OMFAT KURMA,"4VWW+QGJ, Kurma, Goudmal, Odisha 768042",768042,, ,493554
20,Rakesh Yadav,"9M5H+W5J, Bhanpur, Chhattisgarh 493112",493112,, ,493554
21,Gagan daily nedds,"chowk, Tappa, Pithora, Chhattisgarh 493551",493551,, ,493554
22,GONAR KIRANA STORE,"Risekela Keduwan, Risekela, Chhattisgarh 493558",493558,,091656 25099,493554
23,Yadav ji mobile store and Dairy Milk,"Unnamed Road, Gadbeda, Chhattisgarh 493551",493551,, ,493554
24,Prabhat Computers ' Photocopy & daily needs,"Dumarpali, Togopathara, Chhattisgarh 493112",493112,,062602 12493,493554
25,RamesKiranah Store,"Mohammuda, Chhattisgarh 493558",493558,,096176 13140,493554
26,Aaush Daily Needs,"7G45, 9XV Lahroud, Nawaparakhurd, Chhattisgarh 493551",493551,,083195 99118,493554
27,DHANURJAY MOBILE GRAFIC DEGINER,"Jogidipa Mundha, Jogidipa, Chhattisgarh 493558",493558,,062606 45522,493554
28,Kanha dairy bhatapara,"PWQP+9XR, Main Rd, Nayaganj Ward, Bhatapara, Chhattisgarh 493118",493118,,079875 36447,493118
29,Dinesh Dairy,"PWRX+28W, Sati Mandir Rd, Nehru Ward, Nayaganj Ward, Bhatapara, Chhattisgarh 493118",493118,, ,493118
30,Deobhog milk parlour,"Collectorate parisar, Karhi, Chhattisgarh 495334",495334,,095751 18022,493118
31,Ashish Dairy Gir & Sahiwal Cow Milk,"rama magneto mall Vinoba nagar road, near btrc hospital, Bilaspur, Chhattisgarh 495001",495001,, ,493118
32,Prajapati Dugdh Dairy,"Purani Basti, Bramhapuri, Raipur, Chhattisgarh 492001",492001,https://prajapatidairy.com/,096916 12554,493118
33,Gopal Dairy,"35X7+2FP, Seepat Rd, Devnandan Nagar Phase 2, Sarkanda, Fadahakhar, Chhattisgarh 495006",495006,, ,493118
34,Sarda Dairy Kharora,"Raipur, Chhattisgarh 493225",493225,http://sardadairy.in/, ,493118
35,Rajendra Dudh Dairy,"M789+4FG, Bilaigarh, Chhattisgarh 496554",496554,,075098 40224,493338
36,Manoj yadav,"214, state bank of india road, bas stand, Raigarh, Basanpali, Chhattisgarh 496107",496107,, ,493338
37,Shri Balaji dairy and sweets,"infront of jamuna inn, mukut nagar, signal chowk, infront of Amantran family restaurant, hemu kalani chowk, Raigarh, Chhattisgarh 496001",496001,,097134 87143,493338
38,Ashish Dairy Gir & Sahiwal Cow Milk,"rama magneto mall Vinoba nagar road, near btrc hospital, Bilaspur, Chhattisgarh 495001",495001,, ,493338
39,Deobhog milk parlour,"Collectorate parisar, Karhi, Chhattisgarh 495334",495334,,095751 18022,493338
40,Sri ganesh dairy farm,"Amraiyapara, Dadarkhurd, Korba, Chhattisgarh 495677",495677,https://sriganeshdairyfarm.blogspot.in/, ,493338
41,Kanha Dairy,"358J+895, RTS Colony, Railway Colony, Bilaspur, Chhattisgarh 495004",495004,, ,493338
42,Prajapati Dugdh Dairy,"Purani Basti, Bramhapuri, Raipur, Chhattisgarh 492001",492001,https://prajapatidairy.com/,096916 12554,493338
43,Atul Dairy and Kirana Store,"353M+6PR, CSEB Colony, Torwa, Sirgiti, Mehmand, Chhattisgarh 495004",495004,, ,493338
44,Gopal Dairy,"35X7+2FP, Seepat Rd, Devnandan Nagar Phase 2, Sarkanda, Fadahakhar, Chhattisgarh 495006",495006,, ,493338
45,Sarda Dairy Kharora,"Raipur, Chhattisgarh 493225",493225,http://sardadairy.in/, ,493338
46,Ansari Milk Products,"Talapara Main Rd, near Taiba chowk, Bilaspur, Masanganj, Chhattisgarh 495001",495001,,070673 99950,493338
47,GOPE DAIRY & SWEETS,"SS Plaza, Power House Rd, Purani Basti, Korba, Chhattisgarh 495677",495677,,098271 94507,493338
48,Shyam Dairy,"34W9+QH9, Shubham Vihar, Mangla, Bilaspur, Chhattisgarh 495001",495001,,096303 99376,493338
49,MANMAUJI PALACE,"CMGG+FGH, Near, State Bank Of India, H. T. P. S. Shoping Complex, Road, Korba, Chhattisgarh 495450",495450,,099261 12135,493338
50,Achyut Dairy,"Dawra Colony Turning, Nahar Rd, Laxmi Nagar, Raipur, Chhattisgarh 492001",492001,,095950 59993,493338
51,Chandan dairy and sweets,"7MRM+C38, Urkura Rd, beside VIP City, Saddu, Chhattisgarh 493111",493111,, ,493338
52,Maa Dairy,"Gurudwara Rd, New Purena, Mahaveer Nagar, Raipur, Tikrapara, Chhattisgarh 492001",492001,,098931 28810,493338
53,Shyam Dairy,"7M9C+W56, Avani Vihar Colony, Dubey Colony, Mowa, Raipur, Chhattisgarh 492014",492014,, ,493338
54,Door step doodhwala,"Ring road no 3 village barouda, Vidhan Sabha Rd, Raipur, Chhattisgarh 493111",493111,,062616 10040,493338
55,Bittu bhai dairy needs,"Bilaspur Rd, Tiwaraiya, Chhattisgarh 493221",493221,, ,493221
56,दुग्ध उत्पादक सहकारी समिति मर्यादित,"GMP6+W3F, Sungera, Chhattisgarh 493221",493221,, ,493221
57,MGS DAIRY,"C.C.I. MANDHAR COLONY NEAR SHIV MANDIR TEKARI2, Raipur, Chhattisgarh 493111",493111,, ,493221
58,Tandon Dairy,"7M25+C63, New Shanti Nagar, Govind Nagar, Raipur, Chhattisgarh 492007",492007,, ,493221
59,Sanjay Kirana,"N/A, Rawabhata, Transport Nagar, Birgoan, Raipur, Chhattisgarh 492001",492001,,088273 83756,493221
60,Sree gadhesha kirana stors daldal shivni tekari road,"nala ke paas, Tekari road, daldal shivni, Raipur, Chhattisgarh 492014",492014,, ,493221
61,Uma Dairy Farm,"7J9H+2MR, Shrinagar, Raipur, Chhattisgarh 492014",492014,, ,493221
62,Heritage Foods Limited,"Valletivaripalem (Md, Chilling Center,Kakuturu (Village Nekunampuram, Po, Kandukur, Andhra Pradesh 524225",524225,http://www.heritagefoods.in/,096664 08788,523113
63,SANGAM MILK DAIRY,"Shop 36, Kanigiri Rd, Kota Reddy Nagar, Kandukur, Andhra Pradesh 523105",523105,,072879 99225,523113
64,Venkateswara Dairy Farm,"4Q2W+56G, Veer Raghavuni Kota, Andhra Pradesh 523113",523113,, ,523113
65,Srikanth dairy farm,"4Q2W+57J, MDR96, Veer Raghavuni Kota, Andhra Pradesh 523116",523116,, ,523113
66,Heritage Sale Point (KANDUKURU),"H.NO.20-4-27.MAS COMPLEX, Kanigiri - Kandukur Rd, R, Kandukur, Andhra Pradesh 523105",523105,http://www.heritagefoods.in/,091001 75983,523113
67,Heritage Sale Point (KANDUKURU),"GND FLOOR.S.NO.594595, adj. to D NO.1, ONGOLEWQ7, Ongole, Andhra Pradesh 523105",523105,http://www.heritagefoods.in/,097050 46611,523113
68,Poojitha Milk Point,"Shop No 76 1, opp. Indian Gas Office, Kandukur, Andhra Pradesh 523105",523105,,089197 92934,523113
69,Ongole BulkMilk Dairy,"4Q4W+J6X, Veer Raghavuni Kota, Andhra Pradesh 523113",523113,, ,523113
70,HAP daily,"NO.22-2-35/1,J.K COMPLEX KKOVURU ROAD, Bus Stand Rd, near RTC, Kandukur, Andhra Pradesh 523105",523105,http://hapdaily.com/,099519 73198,523113
71,venkateswarlu Dairy,097048 18914, 18914,,097048 18914,523113
72,Heritage Sale Point (GURU POOJITHA HERITAGE MILK AGENCY),"D.NO.16, PALEM,KANDUKUR, 6-58, Gurram Vari Street, DV Nagar, Kandukur, Andhra Pradesh 523105",523105,http://www.heritagefoods.in/,083280 67711,523113
73,Saikiran Cool Drinks & Milk Dairy,"near Ankamma Thalli temple, Santhosh Nagar, Kandukur, Andhra Pradesh 523105",523105,,098484 97246,523113
74,Heritage Sale Point (SRI LAKSHMI DURGA NATURAL FOODS),"O.V Road, Ponnaluru, Andhra Pradesh 523109",523109,http://www.heritagefoods.in/,083284 45754,523113
75,సంగం డెయిరీ,"Santhosh Nagar, Kandukur, Andhra Pradesh 523105",523105,, ,523113
76,HAP daily,"11-1-10, R.D.O OFFICE ROAD, LANDMARK:, near MORE SUPER MARKET, Kandukur, Andhra Pradesh 523105",523105,http://hapdaily.com/,096031 16846,523113
77,Heritage Sale Point (VENKATA SAI MANIKANTA HERITAGE PARLOR),"BANK STREET, NEAR MARKET, Sai Nagar, Kandukur, Andhra Pradesh 523105",523105,http://www.heritagefoods.in/,083281 40321,523113
78,Dayakar reddy Dairy,"82C2+5HH, Jammulapalem, Andhra Pradesh 523274",523274,, ,523113
79,Chandamama milk Dairy,"Lingasamudram mandal, Pedapavani, Ongole, Andhra Pradesh 523115",523115,,099480 12442,523113
80,Sai Ram Rice Store,"Shop No 5, 3-51, Kovuru Rd, Santhosh Nagar, Kandukur, Andhra Pradesh 523105",523105,,080191 95319,523113
81,SRI VALLURAMMA THALLI SANGAM MILK DAIRY,"SHOP NO 1, opp. VASAVI NAGAR, DV Nagar, Kandukur, Andhra Pradesh 523105",523105,,081424 87902,523113
82,Syed's Dairy Form,Telangana 502248,502248,https://goo.gl/maps/BHhq5y2XNyN2, ,502107
83,Mirza Dairy Farm,"P7G7+P4X, Medak, Telangana 502313",502313,, ,502107
84,Farm house,"Saibetpet, Saibanpet, Telangana 502273",502273,, ,502107
85,Venket Reddy Diary,"Gungal, Gadda Mallaiah Guda, Telangana 501506",501506,, ,502107
86,Ksheera Farm | Farm Fresh Milk | Dairy Farm,"opp. to Saibaba mandir, Ghanpur, Patancheruvu, Kardanur, Telangana 502334",502334,https://ksheerafarm.com/,077025 51112,502107
87,Golden Dairy,"Vikas Nagar Colony, Lane, beside Honda Showroom Service Center, Vikas Nagar Colony, Kamareddy, Telangana 503111",503111,,099630 70668,502107
88,Bansuri Dairy Farm,"85 7 10, Rd Number 9, Satyanarayana Colony, Sathyanarayanapuram, Nagaram, Secunderabad, Telangana 500083",500083,,093466 39595,502107
89,Suresh Dairy Farm,"Dhandupally, Majeedpally, Gajwel, Telangana 502278",502278,, ,502107
90,Mother Dairy India Limited,"203, Skill Spectrum, Himayat Nagar Rd, Gagan Mahal, Domalguda, Himayatnagar, Hyderabad, Telangana 500029",500029,https://www.motherdairy.com/,040 2322 1133,502107
91,Milk Dairy,"Marri Raj Reddy Colony, Uma Nagar Colony, Medchal, Secunderabad, Telangana 501401",501401,, ,502107
92,Sadath Dairy Farm,"Kala Bunglow Road, Nizam Colony, Hakimpet, Hyderabad, Telangana 500028",500028,,070135 49811,502107
93,Donkit Farms - Best Donkey Milk Farm in Hyderabad Telangana India,"Pedda Kondur, Choutuppal, Telangana 508252",508252,https://donkitfarms.com/,092814 44345,502107
94,Karimnagar dairy products,"8424+66P, Gundlapalli, Telangana 505530",505530,, ,502107
95,Olive Green Farms & Dairy,"JPXJ+HWJ, Timmapuru, Telangana 508116",508116,, ,502107
96,Priya Milk and Milk Products Private Limited,"Karimnagar to Hyderabad Rd, Nustulapur, Telangana 505481",505481,http://www.priyamilk.com/,093915 41851,502107
97,Heritage Sale Point ( HOTEL CHANDRA BHAVAN ),"1-12-3/U, Jambikunta, Ram Nagar, Medak, Telangana 502110",502110,http://www.heritagefoods.in/,099899 46661,502107
98,NIDHI DAIRY PRODUCTS,"Housing Board Colony, Medchal, Secunderabad, Telangana 501401",501401,,090003 33171,502107
99,Upadrasta Dairy Specialities Limited,"Plot No.47/A-2, IDA, Guttala_Begumpet, Cherlapalli, Hyderabad, Telangana 500051",500051,https://suruchighee.com/,078420 17387,502107
100,Karimnagar dairy parlour,"9HF6+H76, Road No. 5, Adarsh Nagar Colony, Nagole, Hyderabad, Telangana 500068",500068,, ,502107
101,South Indian Dairy Mall Village Milks,"52, AV Nagar, Christian Colony, Hastinapuram, Hyderabad, Telangana 500070",500070,,099637 01232,502107
102,Vijaya Diary,"1-17 Opposite Sbi Bank Regode, Road, Alladurg, Medak, Telangana 502269",502269,,091007 64600,502269
103,IKARSHAK FARM,"Unnamed Road, Khadirabad, Telangana 502269",502269,http://www.ikarshak.com/,094920 04444,502269
