,Name,address,pincode,website,phone number,scrap
0,Shri Krishan Gaushala,"14/12, 14/14, New Shahganj Rd, Opp. Kothi Meena Bazar, Kothi Meena Bazaar, Shahganj, Agra, Uttar Pradesh 282010",282010,,0562 221 3127,283112
1,Yogiraj shrikrishna gaushala (reg.),"Bainkheda Between rohta to malpura nahar, Uttar Pradesh 283102",283102,, ,283112
2,e-Gaushala,"32/D/1A, Natraj Puram, Kamla Nagar, Agra, Uttar Pradesh 282002",282002,"https://www.google.com/search?sca_esv=00e485a4403845c8&sca_upv=1&rlz=1C1CHWL_enIN1089IN1089&tbs=lf:1,lf_ui:2&tbm=lcl&sxsrf=ADLYWILtKagE78nPZDbQH8192XU34_p3MQ:1716484346537&q=gaushalas+at+283112#",073023 63555,283112
3,Dayalbagh Gaushala,"62G5+PV5, Anupam Bagh, DayalBagh, Agra, Uttar Pradesh 282005",282005,, ,283112
4,NATTHO PAHALWAN GAUSHALA,"7R9W+6J9, singma, Agra, Uttar Pradesh 282007",282007,, ,283112
5,Gosala,"Mangalam Estate, DayalBagh, Agra, Uttar Pradesh 282005",282005,, ,283112
6,Cow Shed,"62G5+XM9, Anupam Bagh, DayalBagh, Agra, Uttar Pradesh 282005",282005,, ,283112
7,Girraj maharaj Gaushala khushiyapur,"WQCQ+QH, Sahpur, Rajasthan 328023",328023, , ,283112
8,SPCA GOSHALA DAYALBAGH AGRA,"6XQX+VPW, Amar Vihar, DayalBagh, Agra, Uttar Pradesh 282005",282005,, ,283112
9,GAUSHALA NAUNI,"WM2C+VX8, Nauni, Uttar Pradesh 283115",283115,, ,283115
10,Shri Krishan Gaushala,"14/12, 14/14, New Shahganj Rd, Opp. Kothi Meena Bazar, Kothi Meena Bazaar, Shahganj, Agra, Uttar Pradesh 282010",282010,,0562 221 3127,283115
11,NATTHO PAHALWAN GAUSHALA,"7R9W+6J9, singma, Agra, Uttar Pradesh 282007",282007,, ,283115
12,Dayalbagh Gaushala,"62G5+PV5, Anupam Bagh, DayalBagh, Agra, Uttar Pradesh 282005",282005,, ,283115
13,Yogiraj shrikrishna gaushala (reg.),"Bainkheda Between rohta to malpura nahar, Uttar Pradesh 283102",283102,, ,283115
14,Post Office,"VJ63+JWM, Jagner, Uttar Pradesh 283115",283115,https://www.indiapost.gov.in/,1800 11 2011,283115
15,Gaushala Machkund,"Doctors Colony, Gurudwara Road, Dholpur, Rajasthan 328001",328001,, ,283115
16,Girraj maharaj Gaushala khushiyapur,"WQCQ+QH, Sahpur, Rajasthan 328023",328023, , ,283115
17,Anushamahan Goshala,"WMXX+JF, Vadakkippatti, Tamil Nadu 621005",621005,, ,621006
18,Goshala,"10, 137, Ammamandapam Rd, Ganapathy Nagar, Tiruchirappalli, Tamil Nadu 620006",620006,, ,621006
19,Seethalakshmi Goshala,"42/111, Agraharam, Sirugamani, Tamil Nadu 639115",639115,,094437 55370,621006
20,Shri Goshala,"Keezha, Vayalur, Tamil Nadu 620102",620102,,099440 06688,621006
21,Goshala saunthra,"PH7R+CH, Ingura, Uttar Pradesh 206244",206244,, ,206251
22,Gaushala Matera,"QJCH+WQ, Patna Bela, Uttar Pradesh 206248",206248, , ,206251
23,"Kanha Gaushala, Rasulabad Unnao (Pashu Aashray Sthal)","PGQ3+2H, Rasulabad, Shahpur, Uttar Pradesh 206249",206249,, ,206243
24,Bhauti gaushala,"HHC9+P8C, Lakhanpur Rd, Lakhanpur, Uttar Pradesh 206244",206244,, ,206244
25,district gaushala,"FG3V+RVP, Bharsen - Mirzapur Marg, bairamShah, Jaitapur, Uttar Pradesh 206122",206122,, ,206244
26,Bhauti gaushala,"HHC9+P8C, Lakhanpur Rd, Lakhanpur, Uttar Pradesh 206244",206244,, ,206246
27,KANAHA GAUSHALA NPP JHINJHAK,"HP6P+GG7, Jhinjhak, Uttar Pradesh 209302",209302,http://nppjhinjhak.in/, ,206246
28,Gaushala Matera,"QJCH+WQ, Patna Bela, Uttar Pradesh 206248",206248, , ,206248
29,"Kanha Gaushala, Rasulabad Unnao (Pashu Aashray Sthal)","PGQ3+2H, Rasulabad, Shahpur, Uttar Pradesh 206249",206249,, ,206248
30,shri sidhh gufa jeev gaushala,"Q286+5G9, Chhipaiti, Etawah, Uttar Pradesh 206001",206001,"https://www.google.com/travel/hotels/gaushalas%20at%20206248/entity/CgoIqvmYsdHb_OJGEAE/prices?g2lb=4814050,4874190,4893075,4965990,10210221,72277293,72302247,72317059,72406588,72414906,72421566,72462234,72471280,72472051,72473841,72481458,72485658,72486593,72494250,72513513,72536387,72538597,72549171,72570850,72582855,72597756,72597926,72602734,72616110,72618914,72619172,72619383,72619923,72620306,72624688,72626061,72629582&hl=en-IN&gl=in&cs=1&ssta=1&q=gaushalas+at+206248&ts=CAEaKwopEicyJTB4Mzk3NWRmZTZmZGE1ZjcxZjoweDQ2YzVmMmRkMTYyNjNjYWE&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwiAwMWvxtGGAxUgUGcHHVxbCRgQrK0LegQIAxAC", ,206248
31,गौशाला,"M799+FWV, Ureng, Uttar Pradesh 206120",206120,, ,206120
32,shri sidhh gufa jeev gaushala,"Q286+5G9, Chhipaiti, Etawah, Uttar Pradesh 206001",206001,"https://www.google.com/travel/hotels/gaushalas%20at%20206120/entity/CgoIqvmYsdHb_OJGEAE/prices?g2lb=4814050,4874190,4893075,4965990,10210221,72277293,72302247,72317059,72406588,72414906,72421566,72462234,72471280,72472051,72473841,72481458,72485658,72486593,72494250,72513513,72536387,72538597,72549171,72570850,72582855,72597756,72597926,72602734,72616110,72618914,72619172,72619383,72619923,72620306,72624688,72626061,72629582&hl=en-IN&gl=in&cs=1&ssta=1&q=gaushalas+at+206120&ts=CAEaKwopEicyJTB4Mzk3NWRmZTZmZGE1ZjcxZjoweDQ2YzVmMmRkMTYyNjNjYWE&rp=OAJAAEgBwAEC&ictx=1&sa=X&ved=2ahUKEwjpnJe4xtGGAxXrd2wGHeyGAe0QrK0LegQIEBAC", ,206120
33,गौशाला,"M799+FWV, Ureng, Uttar Pradesh 206120",206120,, ,206124
