,Name,address,pincode,website,phone number,scrap
0,Gaushala Nagraj Temple Lahal Bharmour,"FFC9+H77, MDR52, Sindi, Himachal Pradesh 176309",176309,, ,176315
1,Prakash Chand Gaushala,"5F3J+J6J, Rakh, Himachal Pradesh 176059",176059,, ,176315
2,Gaushala Kanghain,"VGGQ+F94, Garh, Himachal Pradesh 176097",176097, , ,176315
3,Gaushala Nagraj Temple Lahal Bharmour,"FFC9+H77, MDR52, Sindi, Himachal Pradesh 176309",176309,, ,176309
4,Prakash Chand Gaushala,"5F3J+J6J, Rakh, Himachal Pradesh 176059",176059,, ,176309
5,Government gaushala,"577G+H8M, Sarah Rd, Padher, Keori, Himachal Pradesh 176216",176216,, ,176309
6,Gaushala Nagraj Temple Lahal Bharmour,"FFC9+H77, MDR52, Sindi, Himachal Pradesh 176309",176309,, ,176318
7,Swadeshi kamdhenu gaushala smiti,"Village PO panjahra Tehsile, Nurpur, Himachal Pradesh 176051",176051,, ,176318
8,Shri Kanhayia Gaushala,"6XM9+W63, Balaji Nagar, Khema-Ka-Kuwa, Jodhpur, Rajasthan 342008",342008,,0291 276 6572,342014
9,Ananddham Gauteerth (Mahadev Gaushala),"Ananddham Gauteerth (Mahadev Gaushala, Boranada Rd, Pal, Jodhpur, Basni Silawatan, Rajasthan 342008",342008,, ,342014
10,Shri Mamdiyai JI Gaushala,"Shri Mamdiyai Ji Gaushala, NH68, near Bhomiya Ji Ka Mandir, Rajasthan 345027",345027,, ,345026
11,Gaushala pokaran,"WW68+7V7, Pokhran, Rajasthan 345021",345021,, ,345026
12,Goushala,"Q57G+6W8, Rd Number - 02, Jatajhupri, Jugsalai, Bagbera colony, Jamshedpur, Jharkhand 831002",831002,,0657 229 1085,832108
13,Jugsalai Goushala nala road jamshedpur jharkhand,"Prasad Bhawan, Goushala Nala Rd, Gaushala, Kumar Chowk, Jugsalai, Jamshedpur, Jharkhand 831006",831006, , ,832108
14,Gaushala Masjid Jamshedpur,"R655+X36, Rajendra Nagar, Sakchi, Jamshedpur, Jharkhand 831001",831001,, ,832108
15,Tatanagar goushala committee,"Q5FQ+4J7, Goushala Chowk, Kumar Chowk, Jugsalai, Jamshedpur, Jharkhand 831006",831006,, ,832108
16,Prasadflourandspicemill,"Q5CQ+XWX Prasad Bhawan, Goushala, Nala Rd, Gaushala, Kumar Chowk, Jugsalai, Jamshedpur, Bagbera colony, Jharkhand 831006",831006,, ,832108
17,Gamharia Post Office,"R3GR+J5H, Adityapur - Kandra Hwy, Tisco-Adityapur Housing Complex, Gamharia, Kalikapur, Jamshedpur, Jharkhand 832108",832108,http://www.indiapost.gov.in/, ,832108
18,"Gaushala ,ghagidih","P5XM+F3H, Keruyadungri, Jharkhand 831002",831002,, ,832107
19,Goushala,"Q57G+6W8, Rd Number - 02, Jatajhupri, Jugsalai, Bagbera colony, Jamshedpur, Jharkhand 831002",831002,,0657 229 1085,832107
20,Kalia-dih Goawsala,"P5VP+H69, Purihasa, Jamshedpur, Jharkhand 831002",831002,, ,832107
21,Tatanagar goushala committee,"Q5FQ+4J7, Goushala Chowk, Kumar Chowk, Jugsalai, Jamshedpur, Jharkhand 831006",831006,, ,832107
22,Gaushala Masjid Jamshedpur,"R655+X36, Rajendra Nagar, Sakchi, Jamshedpur, Jharkhand 831001",831001,, ,832107
23,Prasadflourandspicemill,"Q5CQ+XWX Prasad Bhawan, Goushala, Nala Rd, Gaushala, Kumar Chowk, Jugsalai, Jamshedpur, Bagbera colony, Jharkhand 831006",831006,, ,832107
24,"Chakulia Gaushala, Pinjerpol Society","FPF9+4PF, Chakulia, Jharkhand 832301",832301,, ,832107
25,Jugsalai Goushala nala road jamshedpur jharkhand,"Prasad Bhawan, Goushala Nala Rd, Gaushala, Kumar Chowk, Jugsalai, Jamshedpur, Jharkhand 831006",831006, , ,832107
26,Goshala Road, ,562149, , ,562149
27,CLAY - Mahalakshmi Goshala,"HMMR+XQ4, Kerala 686503",686503,http://www.ibconline.co.in/, ,686506
28,Amrithadhara Gaushala,"CMMW+9XV, Kottenkudy, Kerala 689588",689588,, ,686506
29,Dairy farm,"JP6R+59V Chithranjaly house, Panamattom, Kerala 686522",686522,, ,686506
30,Mahalekshmi Goshala മഹാലക്ഷ്മി ഗോശാല,"CJGF+59C, Thiruvalla, Mundiappally, Thiruvalla, Kerala 689581",689581,http://mahalekshmigoshala.com/,098472 16518,686506
31,Brihad Gaushala kevtali,"8PRR+QHW, Kevtali, Uttar Pradesh 272205",272205,, ,272153
32,Shree Shree Gaushala,"76CQ+MM7, Dumka, Jharkhand 814110",814110,, ,814119
33,Gokul dham,"769X+CG4, Gopi gali , gaushala road, Dumka, Jharkhand",rkhand,, ,814119
34,Bal Gopal gaushala,"Gaushala Baba Bal, Rakkar, Indane Warehouse, Himachal Pradesh 174303",174303,, ,174303
35,Gaushala,"F862+7HQ, Rakkar Colony, Himachal Pradesh 174303",174303,, ,174303
36,Sri Ram Das Gaushala Chandpur,"97P5+HX7, Una, Himachal Pradesh 174301",174301,,098057 71217,174303
37,Gaushala Vinay ji,"H927+PQ, Bhadwar, Himachal Pradesh 174321",174321,, ,174303
