,Name,address,pincode,website,phone number,scrap
0,VNR DAIRY,"Sy No 244/237, INUPAMULA VILLAGE, MANDAL, Kethepally, Telangana 508211",508211,, ,508211
1,Heritage Parlour (MAHESHWARA DAIRY PARLOUR),"H,NO:1--50 Market Road, 2-36, Suryapet, Nalgonda, Telangana 508211",508211,http://www.heritagefoods.in/,099481 10209,508211
2,HAP daily,"NO:1, 4JRF+H56, 6-113/8, VT Rd, near by KANAYKAPARAMESHWARI GUDI, Sriram Nagar, Vidyanagar, Suryapet, Telangana 508213",508213,https://hapdaily.com/,080088 33456,508211
3,Jyothi Milk and Sweet Center,"5-9-405, MLG road, Golla Guda Rural, Manyamchalka, Nalgonda, Telangana 508001",508001,,094406 78825,508211
4,Venket Reddy Diary,"Gungal, Gadda Mallaiah Guda, Telangana 501506",501506,, ,508211
5,sri madhuri frozen foods,"3794+373, Unnamed Road, Suryanagar Colony, Ravindra Nagar, Nalgonda, Telangana 508001",508001,,094921 18539,508211
6,Durga Milk Centre,"NATRAJ Theatre Road, BOTTUGUDA, near VALMIKI Temple, Nalgonda, Telangana 508001",508001,,094416 59382,508211
7,Donkit Farms - Best Donkey Milk Farm in Hyderabad Telangana India,"Pedda Kondur, Choutuppal, Telangana 508252",508252,https://donkitfarms.com/,092814 44345,508211
8,Dodla Dairy Ltd_Gundrampally Plant,"Next to Bharat Petrol Bunk, Gundrampally, Telangana 508114",508114,http://www.dodladairy.com/,1800 103 1477,508211
9,Heritage Foods Limited,"Survey No. 47, Vijaywada-Hyderabad Highway, Near Kamineni Hospital Cheruvugattu, Village, Narketpalle, Telangana 508254",508254,http://www.heritagefoods.in/,1800 425 2931,508211
10,Heritage Parlour (SRI SAI DAIRY PARLOUR),"H.NO:2-8/1 Vidya Nagar Colony,chottupal,chottupal, Nalgonda, Telangana 508211",508211,http://www.heritagefoods.in/,098487 46996,508210
11,heritage parlour,"5C7H+R9M, Main Road, Nakrekal, Telangana",angana,https://www.heritagefoods.in/diary/heritage-parlour, ,508210
12,VNR DAIRY,"Sy No 244/237, INUPAMULA VILLAGE, MANDAL, Kethepally, Telangana 508211",508211,, ,508210
13,Jyothi Milk and Sweet Center,"5-9-405, MLG road, Golla Guda Rural, Manyamchalka, Nalgonda, Telangana 508001",508001,,094406 78825,508210
14,Heritage Parlour (VAASANTHI DAIRY PARLOUR),"H.no.308,saipuja Residency Ravindranga Nagar,, Nalgonda, Hyderabad, Telangana 508211",508211,http://www.heritagefoods.in/,085019 54404,508210
15,HAP daily,"NO:1, 4JRF+H56, 6-113/8, VT Rd, near by KANAYKAPARAMESHWARI GUDI, Sriram Nagar, Vidyanagar, Suryapet, Telangana 508213",508213,https://hapdaily.com/,080088 33456,508210
16,Heritage Foods Limited,"Survey No. 47, Vijaywada-Hyderabad Highway, Near Kamineni Hospital Cheruvugattu, Village, Narketpalle, Telangana 508254",508254,http://www.heritagefoods.in/,1800 425 2931,508210
17,Dodla Dairy Ltd_Gundrampally Plant,"Next to Bharat Petrol Bunk, Gundrampally, Telangana 508114",508114,http://www.dodladairy.com/,1800 103 1477,508210
18,Venket Reddy Diary,"Gungal, Gadda Mallaiah Guda, Telangana 501506",501506,, ,508210
19,Donkit Farms - Best Donkey Milk Farm in Hyderabad Telangana India,"Pedda Kondur, Choutuppal, Telangana 508252",508252,https://donkitfarms.com/,092814 44345,508210
20,Heritage Parlour (MAHESHWARA DAIRY PARLOUR),"H,NO:1--50 Market Road, 2-36, Suryapet, Nalgonda, Telangana 508211",508211,http://www.heritagefoods.in/,099481 10209,508210
21,Durga Milk Centre,"NATRAJ Theatre Road, BOTTUGUDA, near VALMIKI Temple, Nalgonda, Telangana 508001",508001,,094416 59382,508210
22,Heritage Parlour (NAVYA DAIRY PARLOUR),"NO:8-4-15, near BUS STAND, Santosh Nagar, Nalgonda, Hyderabad, Telangana 508001",508001,http://www.heritagefoods.in/, ,508210
23,Mulkanoor Woman Dairy, ,508210, , ,508210
24,Kusu Dairy Farms And Poultry,"Kanchanpalli, Pallikonda, Mandal, Telangana 508285",508285,, ,508210
25,Krishi Dairy Farm,"QQ45+9XC, Erravalli, Telangana 502279",502279,,099894 97884,508210
26,Tirumala Milk Products Private Limited.,"Gungal, Telangana 501506",501506,https://www.tirumalamilk.com/flavoured-milk.php,097038 00423,508210
27,"Mamata Dairy Farm,Adahagan","Adhgaon, Badapatuli, Odisha 755019",755019,, ,755022
28,mother dairy,1800 180 1018,0 1018,https://motherdairy-store.business.site/?utm_source=gmb&utm_medium=referral,1800 180 1018,755022
29,Rebati Dairy Farm,"At/po, Janha Village Rd, Byasanagar, Odisha 755019",755019,,082704 05997,755022
30,Jajpur Road Gosala,"W4QH+78Q, Andhari, Byasanagar, Odisha 755019",755019,, ,755022
31,Archit dairy farm.JAJPUR road.odisha,"Janha Kona, Janha, Byasanagar, Odisha 755019",755019,, ,755022
