,Name,address,pincode,website,phone number,scrap
0,"Ranijanj Suri Road, Goshala Tolltax","Goshala, Dubrajpur, West Bengal 731123",731123,, ,731123
1,Dubrajpur Goshala,"Q9M9+W85, Dubrajpur, West Bengal 731123",731123,, ,731123
2,Goshala Iscon,"H7HX+62V, Jagadish Chandra Bose Road, A-Zone, Durgapur, West Bengal 713205",713205,, ,731123
3,Shri Shyama Gaushala And Deyari Aadipur Hariharpur Azamgarh,"Aadipur, Hariharpur, Aadipur, Uttar Pradesh 276125",276125,, ,276137
4,Maurya ka gaushala,"35CV+V9X, Bazbahadur, Azamgarh, Uttar Pradesh 276001",276001, , ,276137
5,Gaushala,"HMC5+728, Lachimanpur, Sitapur, Uttar Pradesh 261001",261001,, ,276123
6,लालधर SINGH GAUSHALA गायघर...,"Q3GR+67V, Lahuwa Khurd, Uttar Pradesh 276202",276202, , ,276123
7,Shri Krishna Gaushala,"263, Mahuwa Murarpur Or Mahuwa B, Uttar Pradesh 276131",276131, , ,276123
8,Shree ram khelawan gaushala,"J7CH+5X, Thakurpur, Uttar Pradesh 225126",225126,, ,225126
9,Kisan Gaushala (Om babu),"यूनियन बैंक ऑफ इंडिया, ग्राम व पोस्ट, Kewali, mohanlalganj, Uttar Pradesh 227308",227308,, ,225126
10,Gaushala Gothiya,"R9V4+HJ, Ajpura, Uttar Pradesh 225412",225412,, ,225126
11,Vinod Kripa Gausala,"Pahar Nagar Tekareya, Uttar Pradesh 226002",226002,,094154 64586,225126
12,सरकारी गौशाला,"V8XR+P58, Chandwara, Uttar Pradesh 225412",225412,, ,225126
13,Gaushala,"C 1/3, sulabh awas, Gomti Nagar, Lucknow, Uttar Pradesh 226010",226010,, ,225126
14,Gaushala,"SREE SHANI MANDIR, near old mondha, Khadakpura, Nanded, Nanded-Waghala, Maharashtra 431604",431604,, ,431601
15,Cows Bliss,"13/1/19/685, Bhagya Nagar Road, Baba Nagar, Vishnu Nagar, Nanded, Nanded-Waghala, Maharashtra 431602",431602,, ,431601
16,Goshala,"W6MX+2MH, Beldanga, West Bengal 742133",742133, , ,742189
17,Goshala,"W6MX+2MH, Beldanga, West Bengal 742133",742133, , ,742133
18,Sri murari gau sewa dham,"Sri murari gau sewa dham gaushala manpur, Biswan - Sitapur Rd, Sitapur, Uttar Pradesh 261145",261145,, ,261145
19,Gaushala,"HMC5+728, Lachimanpur, Sitapur, Uttar Pradesh 261001",261001,, ,261145
20,Gaushala charagah,"9R7M+CC3, Maholi, Uttar Pradesh 261302",261302,, ,261145
21,Mushaidabad gaushala,"93WC+P2, Sultanpur, Uttar Pradesh 261206",261206, , ,261145
22,kamdhenu avtaran abhiya gaushala dashrathpur,"FGF9+995, Endual Grant, Uttar Pradesh 261401",261401,, ,261401
23,Naimisharanya Gaushala,"8FWQ+222, Misrikh-cum-Neemsar, Uttar Pradesh 261402",261402,, ,261401
24,Asthai Gau aashram Gaushala,"HGGJ+627, Chinhra, Uttar Pradesh 261001",261001,, ,261401
25,Gaushala,"HMC5+728, Lachimanpur, Sitapur, Uttar Pradesh 261001",261001,, ,261401
26,Naimisharanya Gaushala,"8FWQ+222, Misrikh-cum-Neemsar, Uttar Pradesh 261402",261402,, ,261402
27,Shree Aandra Ashramam Goshala,"8FWJ+CRQ, Dashasumir Ghat, Bhehind Lakshmi Narayana Temple, Naimisharanya, Misrikh-cum-Neemsar, Uttar Pradesh",radesh,, ,261402
28,kamdhenu avtaran abhiya gaushala dashrathpur,"FGF9+995, Endual Grant, Uttar Pradesh 261401",261401,, ,261402
29,Gaushala,"HMC5+728, Lachimanpur, Sitapur, Uttar Pradesh 261001",261001,, ,261402
30,Gaushala,"HMC5+728, Lachimanpur, Sitapur, Uttar Pradesh 261001",261001,, ,261404
31,kamdhenu avtaran abhiya gaushala dashrathpur,"FGF9+995, Endual Grant, Uttar Pradesh 261401",261401,, ,261404
32,Asthai Gau aashram Gaushala,"HGGJ+627, Chinhra, Uttar Pradesh 261001",261001,, ,261404
33,Bhagwaan Shankar Ji Mandir,"Gaushala, Sitapur - Hardoi Rd, Lachimanpur, Sitapur, Uttar Pradesh 261001",261001,, ,261404
34,Gaushala,"HMC5+728, Lachimanpur, Sitapur, Uttar Pradesh 261001",261001,, ,261151
35,Asthai Gau aashram Gaushala,"HGGJ+627, Chinhra, Uttar Pradesh 261001",261001,, ,261151
36,kamdhenu avtaran abhiya gaushala dashrathpur,"FGF9+995, Endual Grant, Uttar Pradesh 261401",261401,, ,261151
37,Gaushala Bakhari,"86P3+457, Chandpur, Uttar Pradesh 225305",225305,, ,261204
38,Gaushala,"HMC5+728, Lachimanpur, Sitapur, Uttar Pradesh 261001",261001,, ,261205
39,Gaushala Bakhari,"86P3+457, Chandpur, Uttar Pradesh 225305",225305,, ,261205
40,Gaushala,"HMC5+728, Lachimanpur, Sitapur, Uttar Pradesh 261001",261001,, ,261206
41,Mushaidabad gaushala,"93WC+P2, Sultanpur, Uttar Pradesh 261206",261206, , ,261206
42,Smriti Gaushala-Smriti Dham,"4R9P+CCV, Rooppur- Nawagoan, Teh, Sidhauli, 261303",261303,,093359 01459,261303
43,Gaushala charagah,"9R7M+CC3, Maholi, Uttar Pradesh 261302",261302,, ,261303
44,Gokul gaushala,"2VQF+96C, Shivpuri, Uttar Pradesh 226202",226202,, ,261303
45,GauRatna GauShala,"Shivpuri, Road, Kathwara, Uttar Pradesh 226202",226202,https://www.gauratna.org/,080900 81895,261303
46,Gaushala,"HMC5+728, Lachimanpur, Sitapur, Uttar Pradesh 261001",261001,, ,261303
47,Naimisharanya Gaushala,"8FWQ+222, Misrikh-cum-Neemsar, Uttar Pradesh 261402",261402,, ,261303
48,Surabhi Goshala,"G7JR+7QJ, Paharpur, Garden Reach, Kolkata, West Bengal 700088",700088,,099276 68182,743377
49,Cow Shed,"954M+H79, Sonaria, West Bengal 743377",743377, , ,743377
50,Jaisukh Bhai Shantilal Parekh Gaushala,"76R7+5P5, Bayaria, West Bengal 743504",743504, , ,743377
51,Surabhi Goshala,"G7JR+7QJ, Paharpur, Garden Reach, Kolkata, West Bengal 700088",700088,,099276 68182,700140
52,Balarampur Goshala,"9CJQ+4JQ, Puranderpur, Balarampur, Kolkata, West Bengal 700144",700144,, ,700151
53,Surabhi Goshala,"G7JR+7QJ, Paharpur, Garden Reach, Kolkata, West Bengal 700088",700088,,099276 68182,700151
54,Dagmagpur gaushala garden,"3QVX+VF8, Mirzapur - Varanasi Rd, Newarhia, Uttar Pradesh 231304",231304,, ,231306
55,Shri Gita Gaushala,"3RW6+7FP, Gopalgram, Dagmagpur, Sindhora, Uttar Pradesh",radesh,, ,231306
56,Gaushala,"7XRX+M8P, Durgakund, Jawahar Nagar Colony, Bhelupur, Varanasi, Uttar Pradesh 221010",221010,, ,231306
57,Shiv Shakti Geer Goshala,"6292+2P, Tikari, Uttar Pradesh 221011",221011,, ,231306
58,Gaushala Gram Panchayat Etwariya(गौशाला),"HX58+24Q, Etwariya, Uttar Pradesh 271845",271845,, ,271805
59,Gaushala sringar,"New Bus Station, Nagar Palika Rd, Srinagar, Uttarakhand 246174",246174,, ,246166
60,Goshala,"Kamleshwar mandir, near SGRR, Srinagar, Uttarakhand 246174",246174,, ,246166
61,Mata Bhagwati Gaushala,"Dev Sanskriti Vishwavidyalaya, Haripur Kalan, Haridwar, Motichur Range, Uttarakhand 249411",249411,http://www.dsvv.ac.in/, ,246166
62,Gaushala Gothiya,"R9V4+HJ, Ajpura, Uttar Pradesh 225412",225412,, ,225120
63,सरकारी गौशाला,"V8XR+P58, Chandwara, Uttar Pradesh 225412",225412,, ,225120
64,"Gaushala, Hazaratpur, Badosarai Barabanki","2FV7+JF, Hazaratpur, Uttar Pradesh 225207",225207,, ,225205
65,गौशाला,"38GX+C7X, Thal Kalan, Uttar Pradesh 225202",225202,, ,225205
66,Lain gaushala,"4CFC+536, Gobaraha, Lodhaura, Uttar Pradesh 225201",225201,, ,225205
67,Gaushala Gothiya,"R9V4+HJ, Ajpura, Uttar Pradesh 225412",225412,, ,225413
68,सरकारी गौशाला,"V8XR+P58, Chandwara, Uttar Pradesh 225412",225412,, ,225413
69,"Gaushala, Hazaratpur, Badosarai Barabanki","2FV7+JF, Hazaratpur, Uttar Pradesh 225207",225207,, ,225207
70,गौशाला,"38GX+C7X, Thal Kalan, Uttar Pradesh 225202",225202,, ,225207
71,Lain gaushala,"4CFC+536, Gobaraha, Lodhaura, Uttar Pradesh 225201",225201,, ,225207
72,Gaushala Gothiya,"R9V4+HJ, Ajpura, Uttar Pradesh 225412",225412,, ,225207
73,Gomati Gaushala Dairy,"73JR+68P, Molana Pur, Uttar Pradesh 228118",228118,, ,228118
74,Arya Samaj Gaushala,"Arya Samaj Gaushala, Khairabad, Sultanpur, Navsari, Uttar Pradesh 228001",228001,, ,228118
75,Sohgauli Gaushala,"Bhandra Kurwar Marg Road, Sultanpur, Bhagvanpur, Uttar Pradesh 228155",228155,,088661 15948,228118
76,Tisauli Gaushala,"82WC+HVG, Tisaulli, Uttar Pradesh 205265",205265,, ,205265
77,गौशाला नगला दीपा Gaushala NAGLA DEEPA,"73JX+4V, Ahirwa, Uttar Pradesh 205001",205001,, ,205265
78,"Nirmala Narayan Gaushala, Vermicompost plant","Pani ki tanki ke pas, Chandeshwar Mandir Rd, Gopal Nagar, Mainpuri, Uttar Pradesh 205001",205001,, ,205265
79,Post Office,"9XW8+V4R, GT Rd, near Post Office, Kurawali, Uttar Pradesh 205265",205265,http://www.indiapost.gov.in/, ,205265
