,Name,address,pincode,website,phone number,scrap
0,Shree Mahakali Mata Mandir Ani Gaushala,+91 98224 99088, 99088,,+91 98224 99088,422002
1,Shreeji Gaushala Nashik, ,422002,, ,422002
2,Shreenathji Gaushala, ,422002,, ,422002
3,Swami Shanti Prakash Gaushala, ,422002,, ,422002
4,Gaushala, ,422002,, ,422002
5,Kapila Gaushala,+91 98607 88897, 88897,,+91 98607 88897,422002
6,Vrundavan Gau Seva Sanstha, ,422002,, ,422002
7,Nandin Go Shala,+91 88058 30700, 30700,,+91 88058 30700,422002
8,Shrirajlaxmi Goshala,+91 93592 91816, 91816,http://srgfoundations.com/,+91 93592 91816,422002
9,Gurukrupa Gaushala,+91 93722 27522, 27522,,+91 93722 27522,422002
10,ISKCON GOSHALA Nashik, ,422002,, ,422002
11,Vrundavan Goushala, ,422002,, ,422002
12,Moropant Pingle Goshala Prakalp, ,422002,, ,422002
13,Sodai Goshala Charitable Trust,+91 91300 03018, 03018,http://www.sodaigoshala.com/,+91 91300 03018,422002
14,A2 Milk Devakinandan Goshala, ,422002,, ,422002
15,Nandini Gaushala -Cow Products in Nashik,+91 98221 12142, 12142,http://www.nandinigoshala.com/,+91 98221 12142,422002
16,Shruti-Smruti Goshala, ,422002,, ,422002
17,Mangalroop Gaushala Ramshej Nashik, ,422002,, ,422002
18,Krushnai goshala Nari Harsh foundation, ,422002,, ,422002
19,Shri Guru Ganesh Anand Goshala, ,422002,, ,422002
20,Swami Shanti Prakash Gaushala, ,422011,, ,422011
21,Shrirajlaxmi Goshala,+91 93592 91816, 91816,http://srgfoundations.com/,+91 93592 91816,422011
22,Vrundavan Gau Seva Sanstha, ,422011,, ,422011
23,Vrundavan Goushala, ,422011,, ,422011
24,Shreeji Gaushala Nashik, ,422011,, ,422011
25,Shreenathji Gaushala, ,422011,, ,422011
26,Gaushala, ,422011,, ,422011
27,Gurukrupa Gaushala,+91 93722 27522, 27522,,+91 93722 27522,422011
28,Kapila Gaushala,+91 98607 88897, 88897,,+91 98607 88897,422011
