,Name,address,pincode,website,phone number,scrap
0,"Shri Adichunchangiri Goshala,","Iyyanahalli, Karnataka 577541",577541,, ,577519
1,Siddashri Goshala,"HGJ6+4R, Keshavapura, Karnataka 572218",572218,,078292 18369,577542
2,Swarnbhoomi Goushala Trust - Hiriyur,"XG7X+59, Hosadurga Rd, Kamadhenu Nagar, Beerenahalli, Hiriyur, Karnataka 577599",577599,,094484 96655,577542
3,"Shri Adichunchangiri Goshala,","Iyyanahalli, Karnataka 577541",577541,, ,577502
4,Swarnbhoomi Goushala Trust - Hiriyur,"XG7X+59, Hosadurga Rd, Kamadhenu Nagar, Beerenahalli, Hiriyur, Karnataka 577599",577599,,094484 96655,577502
5,Sri Lakshmi govindam goshala,"4-50, near boddurai, penamakuru, via vuyyuru, Penamakuru, Andhra Pradesh 521165",521165,, ,521250
6,Goshala,"76-8-6/3, Swathi Theatre Rd, opp. andhra bank, Housing Board Colony, Vijayawada, Andhra Pradesh 520012",520012,, ,521250
7,Sri KrishnaRama Goshala,"C23M+W8, Serivelpuru, Andhra Pradesh 521330",521330,, ,521250
8,Murali Goshala,"CF95+7HX, Tadikonda, Andhra Pradesh 522236",522236,, ,521250
9,Vasudeva Goshala,"Dr.No.24/137, Five Road Centre, Chakirevu Palem, Machilipatnam, Andhra Pradesh 521001",521001,,086722 23545,521250
10,Tinsukia Gaushala,"F9G8+MMF, Jyoti Nagar, Digboi, No-2 Patia Pathar Gaon, Assam 786125",786125,, ,786183
11,Tinsukia Gaushala,"F9G8+MMF, Jyoti Nagar, Digboi, No-2 Patia Pathar Gaon, Assam 786125",786125,, ,786171
12,Tinsukia Gaushala,"F9G8+MMF, Jyoti Nagar, Digboi, No-2 Patia Pathar Gaon, Assam 786125",786125,, ,786189
13,Sri Ganga Gaushala,"Goushala Temple, Unnamed Road, Uttar Kari Bil, Assam 784179",784179,, ,784179
14,Sri Ganga Gaushala,"Goushala Temple, Unnamed Road, Uttar Kari Bil, Assam 784179",784179,, ,784167
15,Goushala,"Nambari Railway Officers Colony, Maligaon, Guwahati, Assam 781011",781011,, ,784167
16,Krishna Gaushala,"Dayalband, Chhattisgarh 495001",495001,, ,495009
17,Jai Shri Shanidham And Gaushala,"348H+X3J, Tifra, Bilaspur, Chhattisgarh",isgarh,, ,495009
18,देवरी गौशाला (गौठान),"4XCX+GF8, Deori Khurd, Chhattisgarh 495001",495001, , ,495009
19,Bsp gau sewa dham,"35M5+7VH, Telipara, Chhattisgarh 495001",495001, , ,495009
20,Goshala,"7CM3+G49, Annavaram, Andhra Pradesh 533406",533406, , ,533406
21,Radhe Gaushala Dalkhaniya,"Radhe Gaushala, near66kv Dalkhania Substation Getco, Ta.Dhari, Dist, Amreli, Gujarat 365640",365640,, ,365645
22,Vrajassthali Gaushala,"8VGM+88Q, Monvel, Gujarat 365645",365645,, ,365645
23,Radhavallabh Gir Gaushala,"Dhari, Gujarat 365640",365640,, ,365645
24,MAA GAUSHALA,"Unnamed Road, Madhuvan Park, Amreli, Gujarat 365601",365601,, ,365645
25,Gopal Gaushala Bhalgam Mota,"CVV3+F54, Bhalgam, Visavadar, Pindakhai Nani, Gujarat 362130",362130,, ,365645
26,Shree Panjarapole Gaushala,"J624+5CP, Ghanshyam Nagar Society, Amreli, Gujarat 365601",365601,, ,365645
27,Gaushala Lunghiya,"9WXG+FVC, Lunghia, Gujarat 362130",362130,, ,365645
28,Thoradi Gaushala,"49M9+X8P, Thoradi, Taluka: Savarkundla, Dist, Thoradi, Gujarat 364522",364522,, ,365645
29,Laxmi wadi - bhakti gaushala,"CRCV+P98, Bhalgam, Visavadar, Gujarat 362130",362130,, ,365645
30,Shree vrundavan Gaushala (Jivdaya) Trust,"Khanpar Road By Pass, JASDAN, Khanpar, Gujarat 360050",360050,,097377 33722,365645
31,Shree Balkrishna Gaushala - Manekwada,"FRGR+GP, Manekwada, Gujarat 365440",365440,, ,365645
32,Aryaman Gir Gaushala_Jasdan,"CHOTILA RAOD PARK, near Jilleswar Garden, Jasdan, Gujarat 360050",360050,http://aryamanorganics.in/,099131 91340,365645
33,Shree Kamdhenu Gaushala,"SHREE KAMDHENU GAUSHALA, Old Port Rd, near Meldi Maa Temple, Juna Bandar, Bhavnagar, Gujarat 364001",364001,http://www.kamdhenugaushala.org/,0278 251 6355,365645
34,Shri Mata Ji Gaushala Barsana,"Shri Mataji Gaushala Manpur, Barsana, Dabhala, Uttar Pradesh 281405",281405,https://www.matajigaushala.org/,099273 96087,365645
35,Gaushala Shikarpur,"7M5C+F3G, Gaushala, Shikarpur, Gujarat 370150",370150,, ,365645
36,Ramkrishna Gaushala,"FXV8+3X2, Bagasara, Gujarat 365440",365440,, ,365645
37,Gaushala,"6VMV+887, Rajkot, Gujarat 360020",360020,, ,365645
38,Nana Munjiyasar gopinath gaushala,"FVFQ+G53, Mota Munjiyasar, Gujarat 365440",365440, , ,365645
39,ગૌશાળા,"J624+68G, Ghanshyam Nagar Society, Amreli, Gujarat 365601",365601, , ,365645
40,Bramhapuri Goshala,"P4CM+6CP, Brahmapuri, Andhra Pradesh 533263",533263,, ,533216
41,Goushala,"Nambari Railway Officers Colony, Maligaon, Guwahati, Assam 781011",781011,, ,781011
42,Maligaon GOSHALA Road,"4MFV+W55, Dhirenpara, Guwahati, Assam 781011",781011,, ,781011
43,"Maligaon,East Goshala Jayanagar Namghar","4PX2+CGW, Maligaon, Guwahati, Assam 781011",781011,,099575 67299,781011
44,Goshala Shani Mandir,"5P22+H3H, Maligaon, Guwahati, Assam 781011",781011,, ,781011
45,Goshala Namghar,"5M2X+CQJ, Railway Colony Bye Ln, Maligaon, Guwahati, Assam 781011",781011,, ,781011
46,Goshala,"Opposite to Udaygiripath,Gosala Maligaon Boragaon Path , PIN - 781011, Devkota Nagar, Guwahati, Assam 781011",781011,, ,781011
47,GOSHALA NEPALI MANDIR,"Maligaon, Guwahati, Assam 781011",781011,, ,781011
48,Guwahati Gaushala,"5PFR+2WC, Chatribari, Guwahati, Assam 781001",781001,http://www.gauhatigaushala.org/, ,781011
49,Shree Gauhati Gaushala,"5QC2+F35, Sati Jaymati Road, Athgaon, Guwahati, Assam 781008",781008,http://www.gauhatigaushala.org/,0361 254 6362,781011
50,Goshala roundabout park,"Goshala, Nambari Railway Officers Colony, Maligaon, Guwahati, Assam 781011",781011,https://instagram.com/bishal__5am?igshid=ZDc4ODBmNjlmNQ==, ,781011
51,Sri Sri Uma Shankar Temple East Goshala Maligaon Railway colony Bye Lane-5 Ghy Assam,"East Goshala, Railway Colony Bye Ln, Nambari Railway Officers Colony, Maligaon, 5 Ghy, Guwahati, Assam 781011",781011,, ,781011
52,Goushala community hall,"4MXX+R4P, Maligaon, Guwahati, Assam 781011",781011,, ,781011
53,Railway Colony 32,"4MWX+X9X, Devkota Nagar, Guwahati, Assam 781011",781011,, ,781011
54,Goshala M E Adarsh Vidyalaya,"5P22+42H, Maligaon, Guwahati, Assam 781011",781011,, ,781011
55,Kukuteshwar Temple Goshala,"464W+MHG, Kalyanamandapm, Pithapuram, Andhra Pradesh 533450",533450,, ,533445
56,Sri Padha Sri Vallaba Goshala,"10-1-58, Radhalapeta, Kalyana Mandapam, Pithapuram, Andhra Pradesh 533450",533450,, ,533445
57,Nadipathy Goshala,"Yrc Canal Road, Yeleswaram, Vanthada, Andhra Pradesh 533429",533429,http://www.nadipathygoshala.com/,088850 11326,533445
58,Sri Chaganti Koteswara Rao Goshala,"Maruti Nagar, Kakinada, Andhra Pradesh 533005",533005,https://lakshmigoshala.com/, ,533445
59,Gaushala,"43GF+93X, Hanuman statue street, Yerrampalem, Andhra Pradesh 533297",533297,, ,533435
60,Nadipathy Goshala,"Yrc Canal Road, Yeleswaram, Vanthada, Andhra Pradesh 533429",533429,http://www.nadipathygoshala.com/,088850 11326,533435
61,Sri Bhagavan Mahaveer Jain Goshala,"3QX3+2MQ, Mirthipadu Main Rd, Bobbillanka, Andhra Pradesh 533293",533293,, ,533435
62,Jagadguru Peetam Goshala,"Rajamahendravaram, Andhra Pradesh 533101",533101,,094949 45001,533435
63,Nadipathy Goshala,"Yrc Canal Road, Yeleswaram, Vanthada, Andhra Pradesh 533429",533429,http://www.nadipathygoshala.com/,088850 11326,533431
64,Kukuteshwar Temple Goshala,"464W+MHG, Kalyanamandapm, Pithapuram, Andhra Pradesh 533450",533450,, ,533431
65,Sri Chaganti Koteswara Rao Goshala,"Maruti Nagar, Kakinada, Andhra Pradesh 533005",533005,https://lakshmigoshala.com/, ,533431
66,Sri Padha Sri Vallaba Goshala,"10-1-58, Radhalapeta, Kalyana Mandapam, Pithapuram, Andhra Pradesh 533450",533450,, ,533431
67,Sai Annapurna Goshala,"8HR5+M29, Tuni Pentakota Rd, beside Sai annapurna trust old age home, Srinagar Colony, Tuni, Andhra Pradesh 533401",533401,, ,533407
68,Nadipathy Goshala,"Yrc Canal Road, Yeleswaram, Vanthada, Andhra Pradesh 533429",533429,http://www.nadipathygoshala.com/,088850 11326,533407
69,Sri Chaganti Koteswara Rao Goshala,"Maruti Nagar, Kakinada, Andhra Pradesh 533005",533005,https://lakshmigoshala.com/, ,533407
70,Gaushala,"43GF+93X, Hanuman statue street, Yerrampalem, Andhra Pradesh 533297",533297,, ,533433
71,Kukuteshwar Temple Goshala,"464W+MHG, Kalyanamandapm, Pithapuram, Andhra Pradesh 533450",533450,, ,533433
72,Sri Padha Sri Vallaba Goshala,"10-1-58, Radhalapeta, Kalyana Mandapam, Pithapuram, Andhra Pradesh 533450",533450,, ,533433
73,Sri Chaganti Koteswara Rao Goshala,"Maruti Nagar, Kakinada, Andhra Pradesh 533005",533005,https://lakshmigoshala.com/, ,533433
74,Nadipathy Goshala,"Yrc Canal Road, Yeleswaram, Vanthada, Andhra Pradesh 533429",533429,http://www.nadipathygoshala.com/,088850 11326,533433
75,Gausatva Gir Gaushala,"At. Shivpura, village. Mahundra, Gandhinagar, Gujarat 382315",382315,, ,382321
76,Gaushala by Sangath IPL,"6QXM+98, Mahudara, Gujarat 382321",382321,, ,382321
77,Shree Swaminarayan Gaushala,"plot no.4, plot no.4, Gandhinagar to Mahudi Rd, Pethapur, Gandhinagar, Gujarat 382041",382041,,094280 49418,382321
78,Gir Gopal Gaushala,"Jaliya math, Nr. Railway Crossing, Dahegam to Rakhiyal Road, Dist:, Dahegam, Gujarat 382305",382305,http://www.thegirgopal.com/,098253 08702,382321
79,Mini banshi gaushala,"7MFF+4P7, Pethapur, Gandhinagar, Gujarat 382610",382610,, ,382321
80,Gwaliya Gaushala,"Lavarpur, Gujarat 382355",382355,, ,382321
81,Morli Gir Gaushala Trust,"Randesan near, near Kesar Aangan, Gandhinagar, Gujarat 382421",382421,, ,382321
